PeakID (cmd=annotatePeaks.pl /home/merk/data/ChIP_DAP/peaks/master_peaks_overlapped.bed /home/merk/data/genomes/ncbi-genomes-2022-03-15/TAIR10.fasta -gtf /home/merk/data/genomes/TAIR10_annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
35S_BBM_GFP_ChIP_peak_14926	chr4	16455187	16455187	+	54.5421	NA	promoter-TSS (AT4G34412.1)	-promoter-TSS (AT4G34412.1)	-418	AT4G34415.1	AT4G34415	AT4G34415						NA
35S_BBM_GFP_ChIP_peak_11619	chr3	19185089	19185089	+	54.2387	NA	promoter-TSS (AT3G51720.1)	-promoter-TSS (AT3G51720.1)	38	AT3G51720.1	AT3G51720	AT3G51720						NA
35S_BBM_GFP_ChIP_peak_14340	chr4	13664376	13664376	+	53.961	NA	promoter-TSS (AT4G27280.1)	-promoter-TSS (AT4G27280.1)	-136	AT4G27280.1	AT4G27280	AT4G27280						NA
35S_BBM_GFP_ChIP_peak_11552	chr3	18909906	18909906	+	53.9464	NA	Intergenic	Intergenic	-1084	AT3G50870.1	AT3G50870	AT3G50870						NA
35S_BBM_GFP_ChIP_peak_16802	chr5	6020858	6020858	+	53.9447	NA	promoter-TSS (AT5G18220.1)	-promoter-TSS (AT5G18220.1)	-405	AT5G18220.1	AT5G18220	AT5G18220						NA
35S_BBM_GFP_ChIP_peak_13070	chr4	6152457	6152457	+	53.7894	NA	Intergenic	Intergenic	-1058	AT4G09760.1	AT4G09760	AT4G09760						NA
35S_BBM_GFP_ChIP_peak_7685	chr2	15719745	15719745	+	53.6929	NA	promoter-TSS (AT2G37440.2)	-promoter-TSS (AT2G37440.2)	-43	AT2G37440.2	AT2G37440	AT2G37440						NA
35S_BBM_GFP_ChIP_peak_5751	chr2	2264472	2264472	+	53.604	NA	promoter-TSS (AT2G05914.1)	-promoter-TSS (AT2G05914.1)	70	AT2G05914.1	AT2G05914	AT2G05914						NA
35S_BBM_GFP_ChIP_peak_10722	chr3	10593114	10593114	+	53.4198	NA	TTS (AT3G28345.1)	-TTS (AT3G28345.1)	-2562	AT3G28340.1	AT3G28340	AT3G28340						NA
35S_BBM_GFP_ChIP_peak_8794	chr3	822714	822714	+	53.4064	NA	promoter-TSS (AT3G03456.1)	-promoter-TSS (AT3G03456.1)	-172	AT3G03456.1	AT3G03456	AT3G03456						NA
35S_BBM_GFP_ChIP_peak_16449	chr5	4236910	4236910	+	53.4064	NA	intron (AT5G13250.1, intron 3 of 3)	-intron (AT5G13250.1, intron 3 of 3)	2641	AT5G13250.1	AT5G13250	AT5G13250						NA
35S_BBM_GFP_ChIP_peak_539	chr1	2353499	2353499	+	53.3855	NA	TTS (AT1G07640.1)	-TTS (AT1G07640.1)	2272	AT1G07640.1	AT1G07640	AT1G07640						NA
35S_BBM_GFP_ChIP_peak_19743	chr5	25266968	25266968	+	53.3679	NA	Intergenic	Intergenic	-2314	AT5G62960.1	AT5G62960	AT5G62960						NA
35S_BBM_GFP_ChIP_peak_19656	chr5	24955280	24955280	+	53.2809	NA	exon (AT5G62140.1, exon 1 of 2)	-exon (AT5G62140.1, exon 1 of 2)	105	AT5G62140.1	AT5G62140	AT5G62140						NA
35S_BBM_GFP_ChIP_peak_5662	chr2	1498076	1498076	+	52.9518	NA	Intergenic	Intergenic	5067	AT2G04300.1	AT2G04300	AT2G04300						NA
35S_BBM_GFP_ChIP_peak_11143	chr3	16628001	16628001	+	52.9308	NA	TTS (AT3G45310.1)	-TTS (AT3G45310.1)	2520	AT3G45310.1	AT3G45310	AT3G45310						NA
35S_BBM_GFP_ChIP_peak_2111	chr1	9896456	9896456	+	52.7607	NA	TTS (AT1G28300.1)	-TTS (AT1G28300.1)	3420	AT1G28300.1	AT1G28300	AT1G28300						NA
35S_BBM_GFP_ChIP_peak_18505	chr5	19331492	19331492	+	52.4816	NA	promoter-TSS (AT5G47720.1)	-promoter-TSS (AT5G47720.1)	-55	AT5G47720.3	AT5G47720	AT5G47720						NA
35S_BBM_GFP_ChIP_peak_13988	chr4	11763394	11763394	+	52.4434	NA	promoter-TSS (AT4G22235.1)	-promoter-TSS (AT4G22235.1)	-231	AT4G22235.1	AT4G22235	AT4G22235						NA
35S_BBM_GFP_ChIP_peak_14605	chr4	14824687	14824687	+	52.4009	NA	Intergenic	Intergenic	2360	AT4G30280.1	AT4G30280	AT4G30280						NA
35S_BBM_GFP_ChIP_peak_10236	chr3	8077496	8077496	+	52.3301	NA	Intergenic	Intergenic	-1324	AT3G22830.1	AT3G22830	AT3G22830						NA
35S_BBM_GFP_ChIP_peak_14482	chr4	14278020	14278020	+	52.3046	NA	promoter-TSS (AT4G28950.1)	-promoter-TSS (AT4G28950.1)	26	AT4G28950.1	AT4G28950	AT4G28950						NA
35S_BBM_GFP_ChIP_peak_5979	chr2	6700517	6700517	+	52.2956	NA	promoter-TSS (AT2G15370.1)	-promoter-TSS (AT2G15370.1)	-364	AT2G15380.1	AT2G15380	AT2G15380						NA
35S_BBM_GFP_ChIP_peak_19290	chr5	23285858	23285858	+	52.1745	NA	promoter-TSS (AT5G57490.1)	-promoter-TSS (AT5G57490.1)	76	AT5G57490.1	AT5G57490	AT5G57490						NA
35S_BBM_GFP_ChIP_peak_20152	chr5	26817051	26817051	+	52.0595	NA	promoter-TSS (AT5G67200.1)	-promoter-TSS (AT5G67200.1)	-485	AT5G67200.1	AT5G67200	AT5G67200						NA
35S_BBM_GFP_ChIP_peak_12262	chr3	22350566	22350566	+	51.9744	NA	TTS (AT3G60490.1)	-TTS (AT3G60490.1)	1039	AT3G60490.1	AT3G60490	AT3G60490						NA
PLT1_DAP_peak_59	chr2	10057	10057	+	51.6659	NA	promoter-TSS (AT2G01023.1)	-promoter-TSS (AT2G01023.1)	-290	AT2G01023.1	AT2G01023	AT2G01023						NA
PLT3_DAP_peak_16	chr1	7073848	7073848	+	51.6406	NA	exon (AT1G20400.1, exon 5 of 8)	-exon (AT1G20400.1, exon 5 of 8)	1990	AT1G20400.1	AT1G20400	AT1G20400						NA
35S_BBM_GFP_ChIP_peak_17237	chr5	8336125	8336125	+	51.6176	NA	TTS (AT5G24420.1)	-TTS (AT5G24420.1)	1883	AT5G24420.1	AT5G24420	AT5G24420						NA
35S_BBM_GFP_ChIP_peak_20188	chr5	26935086	26935086	+	51.3935	NA	promoter-TSS (AT5G67490.1)	-promoter-TSS (AT5G67490.1)	-57	AT5G67500.2	AT5G67500	AT5G67500						NA
35S_BBM_GFP_ChIP_peak_2617	chr1	12763555	12763555	+	51.2996	NA	promoter-TSS (AT1G34790.1)	-promoter-TSS (AT1G34790.1)	-347	AT1G34790.1	AT1G34790	AT1G34790						NA
35S_BBM_GFP_ChIP_peak_16908	chr5	6485297	6485297	+	51.2552	NA	TTS (AT5G19270.1)	-TTS (AT5G19270.1)	1712	AT5G19270.1	AT5G19270	AT5G19270						NA
35S_BBM_GFP_ChIP_peak_13361	chr4	8230969	8230969	+	51.1333	NA	promoter-TSS (AT4G14290.1)	-promoter-TSS (AT4G14290.1)	-48	AT4G14300.1	AT4G14300	AT4G14300						NA
35S_BBM_GFP_ChIP_peak_2927	chr1	17681936	17681936	+	51.0299	NA	promoter-TSS (AT1G47950.1)	-promoter-TSS (AT1G47950.1)	17	AT1G47950.1	AT1G47950	AT1G47950						NA
35S_BBM_GFP_ChIP_peak_19395	chr5	23785179	23785179	+	50.64	NA	exon (AT5G58900.1, exon 1 of 2)	-exon (AT5G58900.1, exon 1 of 2)	155	AT5G58900.1	AT5G58900	AT5G58900						NA
35S_BBM_GFP_ChIP_peak_12820	chr4	1603059	1603059	+	50.5212	NA	promoter-TSS (AT4G03590.1)	-promoter-TSS (AT4G03590.1)	-109	AT4G03590.1	AT4G03590	AT4G03590						NA
35S_BBM_GFP_ChIP_peak_8487	chr2	19133382	19133382	+	50.4838	NA	exon (AT2G46590.1, exon 1 of 1)	-exon (AT2G46590.1, exon 1 of 1)	153	AT2G46590.1	AT2G46590	AT2G46590						NA
35S_BBM_GFP_ChIP_peak_8986	chr3	1735970	1735970	+	50.4176	NA	promoter-TSS (AT3G05820.1)	-promoter-TSS (AT3G05820.1)	-213	AT3G05820.1	AT3G05820	AT3G05820						NA
PLT1_DAP_peak_98	chr2	8349823	8349823	+	50.3226	NA	exon (AT2G19240.1, exon 4 of 5)	-exon (AT2G19240.1, exon 4 of 5)	-1392	AT2G19230.1	AT2G19230	AT2G19230						NA
35S_BBM_GFP_ChIP_peak_19671	chr5	25002446	25002446	+	50.197	NA	TTS (AT5G62230.1)	-TTS (AT5G62230.1)	2320	AT5G62240.1	AT5G62240	AT5G62240						NA
35S_BBM_GFP_ChIP_peak_18543	chr5	19532862	19532862	+	49.943	NA	exon (AT5G48170.1, exon 1 of 1)	-exon (AT5G48170.1, exon 1 of 1)	403	AT5G48170.1	AT5G48170	AT5G48170						NA
PLT1_DAP_peak_69	chr2	2529053	2529053	+	49.931	NA	Intergenic	Intergenic	-1296	AT2G06400.1	AT2G06400	AT2G06400						NA
35S_BBM_GFP_ChIP_peak_5577	chr2	877771	877771	+	49.8507	NA	TTS (AT2G03000.1)	-TTS (AT2G03000.1)	-1476	AT2G03010.1	AT2G03010	AT2G03010						NA
35S_BBM_GFP_ChIP_peak_421	chr1	1850595	1850595	+	49.7898	NA	promoter-TSS (AT1G06100.1)	-promoter-TSS (AT1G06100.1)	-935	AT1G06100.1	AT1G06100	AT1G06100						NA
35S_BBM_GFP_ChIP_peak_17115	chr5	7655640	7655640	+	49.7019	NA	promoter-TSS (AT5G22890.1)	-promoter-TSS (AT5G22890.1)	-916	AT5G22890.1	AT5G22890	AT5G22890						NA
35S_BBM_GFP_ChIP_peak_14881	chr4	16267713	16267713	+	49.6851	NA	promoter-TSS (AT4G33945.1)	-promoter-TSS (AT4G33945.1)	-337	AT4G33945.1	AT4G33945	AT4G33945						NA
35S_BBM_GFP_ChIP_peak_11845	chr3	20142805	20142805	+	49.3599	NA	promoter-TSS (AT3G54400.1)	-promoter-TSS (AT3G54400.1)	-163	AT3G54400.1	AT3G54400	AT3G54400						NA
35S_BBM_GFP_ChIP_peak_10802	chr3	11101100	11101100	+	49.3051	NA	Intergenic	Intergenic	2595	AT3G29120.1	AT3G29120	AT3G29120						NA
35S_BBM_GFP_ChIP_peak_3147	chr1	19144175	19144175	+	49.2646	NA	exon (AT1G51630.1, exon 1 of 6)	-exon (AT1G51630.1, exon 1 of 6)	119	AT1G51630.1	AT1G51630	AT1G51630						NA
35S_BBM_GFP_ChIP_peak_11804	chr3	19940602	19940602	+	48.9553	NA	promoter-TSS (AT3G53830.1)	-promoter-TSS (AT3G53830.1)	-212	AT3G53830.1	AT3G53830	AT3G53830						NA
35S_BBM_GFP_ChIP_peak_19729	chr5	25220190	25220190	+	48.8513	NA	promoter-TSS (AT5G62810.1)	-promoter-TSS (AT5G62810.1)	43	AT5G62810.1	AT5G62810	AT5G62810						NA
35S_BBM_GFP_ChIP_peak_8354	chr2	18632231	18632231	+	48.8143	NA	Intergenic	Intergenic	-1519	AT2G45190.1	AT2G45190	AT2G45190						NA
35S_BBM_GFP_ChIP_peak_8416	chr2	18875923	18875923	+	48.7863	NA	promoter-TSS (AT2G45860.1)	-promoter-TSS (AT2G45860.1)	29	AT2G45870.1	AT2G45870	AT2G45870						NA
35S_BBM_GFP_ChIP_peak_9642	chr3	4846198	4846198	+	48.7859	NA	Intergenic	Intergenic	-3590	AT3G14450.1	AT3G14450	AT3G14450						NA
35S_BBM_GFP_ChIP_peak_12256	chr3	22324857	22324857	+	48.6324	NA	Intergenic	Intergenic	-2271	AT3G60390.1	AT3G60390	AT3G60390						NA
35S_BBM_GFP_ChIP_peak_15721	chr5	784910	784910	+	48.6109	NA	TTS (AT5G03270.1)	-TTS (AT5G03270.1)	-2518	AT5G03280.1	AT5G03280	AT5G03280						NA
PLT3_DAP_peak_263	chr3	14002236	14002236	+	48.3816	NA	TTS (AT3G33175.1)	-TTS (AT3G33175.1)	-2164	AT3G33172.1	AT3G33172	AT3G33172						NA
35S_BBM_GFP_ChIP_peak_3804	chr1	23162877	23162877	+	48.3666	NA	TTS (AT1G62560.1)	-TTS (AT1G62560.1)	3054	AT1G62560.1	AT1G62560	AT1G62560						NA
PLT1_DAP_peak_52	chr1	27443097	27443097	+	48.271	NA	exon (AT1G72940.1, exon 2 of 2)	-exon (AT1G72940.1, exon 2 of 2)	859	AT1G72940.1	AT1G72940	AT1G72940						NA
35S_BBM_GFP_ChIP_peak_10175	chr3	7681949	7681949	+	48.2352	NA	promoter-TSS (AT3G21800.1)	-promoter-TSS (AT3G21800.1)	-264	AT3G21800.1	AT3G21800	AT3G21800						NA
35S_BBM_GFP_ChIP_peak_12610	chr4	512535	512535	+	48.2072	NA	TTS (AT4G01220.1)	-TTS (AT4G01220.1)	247	AT4G01210.1	AT4G01210	AT4G01210						NA
PLT1_DAP_peak_262	chr5	16501624	16501624	+	48.136	NA	promoter-TSS (AT5G41240.1)	-promoter-TSS (AT5G41240.1)	-766	AT5G41240.1	AT5G41240	AT5G41240						NA
35S_BBM_GFP_ChIP_peak_16719	chr5	5616063	5616063	+	48.1301	NA	promoter-TSS (AT5G17070.1)	-promoter-TSS (AT5G17070.1)	75	AT5G17070.1	AT5G17070	AT5G17070						NA
35S_BBM_GFP_ChIP_peak_8667	chr3	229082	229082	+	48.1034	NA	promoter-TSS (AT3G01600.1)	-promoter-TSS (AT3G01600.1)	-89	AT3G01600.1	AT3G01600	AT3G01600						NA
35S_BBM_GFP_ChIP_peak_253	chr1	1059561	1059561	+	48.0974	NA	promoter-TSS (AT1G04100.1)	-promoter-TSS (AT1G04100.1)	55	AT1G04100.1	AT1G04100	AT1G04100						NA
35S_BBM_GFP_ChIP_peak_10639	chr3	10124555	10124555	+	48.0708	NA	Intergenic	Intergenic	-1104	AT3G27350.2	AT3G27350	AT3G27350						NA
35S_BBM_GFP_ChIP_peak_2477	chr1	11801127	11801127	+	48.0708	NA	promoter-TSS (AT1G32640.1)	-promoter-TSS (AT1G32640.1)	-139	AT1G32640.1	AT1G32640	AT1G32640						NA
35S_BBM_GFP_ChIP_peak_18693	chr5	20404478	20404478	+	47.9925	NA	exon (AT5G50150.1, exon 6 of 7)	-exon (AT5G50150.1, exon 6 of 7)	2253	AT5G50150.1	AT5G50150	AT5G50150						NA
35S_BBM_GFP_ChIP_peak_13001	chr4	5596785	5596785	+	47.8229	NA	TTS (AT4G08765.1)	-TTS (AT4G08765.1)	3527	AT4G08770.1	AT4G08770	AT4G08770						NA
35S_BBM_GFP_ChIP_peak_20185	chr5	26926061	26926061	+	47.7446	NA	promoter-TSS (AT5G67470.1)	-promoter-TSS (AT5G67470.1)	-652	AT5G67470.1	AT5G67470	AT5G67470						NA
35S_BBM_GFP_ChIP_peak_10789	chr3	11032390	11032390	+	47.742	NA	Intergenic	Intergenic	-1275	AT3G29035.1	AT3G29035	AT3G29035						NA
PLT3_MK_DAP_peak_1357	chr4	5744213	5744213	+	47.6524	NA	promoter-TSS (AT4G08953.1)	-promoter-TSS (AT4G08953.1)	353	AT4G08956.1	AT4G08956	AT4G08956						NA
35S_BBM_GFP_ChIP_peak_13580	chr4	9604351	9604351	+	47.6523	NA	promoter-TSS (AT4G17085.1)	-promoter-TSS (AT4G17085.1)	-151	AT4G17085.1	AT4G17085	AT4G17085						NA
35S_BBM_GFP_ChIP_peak_11694	chr3	19437641	19437641	+	47.4963	NA	Intergenic	Intergenic	2194	AT3G52440.1	AT3G52440	AT3G52440						NA
35S_BBM_GFP_ChIP_peak_8724	chr3	508641	508641	+	47.0635	NA	promoter-TSS (AT3G02468.1)	-promoter-TSS (AT3G02468.1)	-245	AT3G02470.4	AT3G02470	AT3G02470						NA
35S_BBM_GFP_ChIP_peak_10555	chr3	9690925	9690925	+	47.0429	NA	promoter-TSS (AT3G26480.1)	-promoter-TSS (AT3G26480.1)	-98	AT3G26480.1	AT3G26480	AT3G26480						NA
35S_BBM_GFP_ChIP_peak_627	chr1	2824988	2824988	+	46.9604	NA	intron (AT1G08820.1, intron 1 of 9)	-intron (AT1G08820.1, intron 1 of 9)	287	AT1G08820.1	AT1G08820	AT1G08820						NA
35S_BBM_GFP_ChIP_peak_15940	chr5	1772358	1772358	+	46.949	NA	promoter-TSS (AT5G05890.1)	-promoter-TSS (AT5G05890.1)	-185	AT5G05890.1	AT5G05890	AT5G05890						NA
35S_BBM_GFP_ChIP_peak_3335	chr1	20231077	20231077	+	46.9367	NA	TTS (AT1G54180.1)	-TTS (AT1G54180.1)	3786	AT1G54180.1	AT1G54180	AT1G54180						NA
35S_BBM_GFP_ChIP_peak_2586	chr1	12471200	12471200	+	46.5148	NA	TTS (AT1G34240.1)	-TTS (AT1G34240.1)	782	AT1G34240.1	AT1G34240	AT1G34240						NA
35S_BBM_GFP_ChIP_peak_9018	chr3	1859541	1859541	+	46.3973	NA	promoter-TSS (AT3G06140.1)	-promoter-TSS (AT3G06140.1)	164	AT3G06142.1	AT3G06142	AT3G06142						NA
35S_BBM_GFP_ChIP_peak_19451	chr5	24015118	24015118	+	46.307	NA	TTS (AT5G59610.1)	-TTS (AT5G59610.1)	1382	AT5G59613.1	AT5G59613	AT5G59613						NA
35S_BBM_GFP_ChIP_peak_18400	chr5	18915533	18915533	+	46.2087	NA	exon (AT5G46610.1, exon 1 of 6)	-exon (AT5G46610.1, exon 1 of 6)	246	AT5G46610.3	AT5G46610	AT5G46610						NA
PLT1_DAP_peak_164	chr3	15108058	15108058	+	46.1426	NA	TTS (AT3G43128.1)	-TTS (AT3G43128.1)	2673	AT3G43128.1	AT3G43128	AT3G43128						NA
35S_BBM_GFP_ChIP_peak_14587	chr4	14780086	14780086	+	46.1149	NA	Intergenic	Intergenic	-4028	AT4G30190.2	AT4G30190	AT4G30190						NA
35S_BBM_GFP_ChIP_peak_20118	chr5	26706428	26706428	+	46.0691	NA	intron (AT5G66870.1, intron 1 of 2)	-intron (AT5G66870.1, intron 1 of 2)	566	AT5G66870.1	AT5G66870	AT5G66870						NA
35S_BBM_GFP_ChIP_peak_16553	chr5	4763064	4763064	+	46.0119	NA	TTS (AT5G14740.1)	-TTS (AT5G14740.1)	1674	AT5G14750.1	AT5G14750	AT5G14750						NA
35S_BBM_GFP_ChIP_peak_13095	chr4	6435308	6435308	+	45.9506	NA	promoter-TSS (AT4G10380.1)	-promoter-TSS (AT4G10380.1)	-486	AT4G10380.1	AT4G10380	AT4G10380						NA
35S_BBM_GFP_ChIP_peak_2069	chr1	9748926	9748926	+	45.9206	NA	TTS (AT1G27970.1)	-TTS (AT1G27970.1)	189	AT1G27980.1	AT1G27980	AT1G27980						NA
35S_BBM_GFP_ChIP_peak_19239	chr5	23105532	23105532	+	45.9142	NA	TTS (AT5G57090.1)	-TTS (AT5G57090.1)	3263	AT5G57100.1	AT5G57100	AT5G57100						NA
35S_BBM_GFP_ChIP_peak_6331	chr2	8882464	8882464	+	45.8992	NA	Intergenic	Intergenic	-2076	AT2G20610.2	AT2G20610	AT2G20610						NA
PLT3_MK_DAP_peak_635	chr2	6715517	6715517	+	45.7379	NA	TTS (AT2G15400.1)	-TTS (AT2G15400.1)	-2261	AT2G15410.1	AT2G15410	AT2G15410						NA
35S_BBM_GFP_ChIP_peak_1439	chr1	6608190	6608190	+	45.7177	NA	promoter-TSS (AT1G19120.1)	-promoter-TSS (AT1G19120.1)	75	AT1G19120.1	AT1G19120	AT1G19120						NA
35S_BBM_GFP_ChIP_peak_5781	chr2	2585186	2585186	+	45.5261	NA	exon (AT2G06510.1, exon 2 of 3)	-exon (AT2G06510.1, exon 2 of 3)	129	AT2G06510.2	AT2G06510	AT2G06510						NA
35S_BBM_GFP_ChIP_peak_6501	chr2	9733189	9733189	+	45.4722	NA	exon (AT2G22850.1, exon 1 of 1)	-exon (AT2G22850.1, exon 1 of 1)	153	AT2G22850.1	AT2G22850	AT2G22850						NA
35S_BBM_GFP_ChIP_peak_12117	chr3	21526434	21526434	+	45.3985	NA	Intergenic	Intergenic	-1206	AT3G58130.1	AT3G58130	AT3G58130						NA
35S_BBM_GFP_ChIP_peak_11351	chr3	17946860	17946860	+	45.3673	NA	Intergenic	Intergenic	-1972	AT3G48450.1	AT3G48450	AT3G48450						NA
35S_BBM_GFP_ChIP_peak_16252	chr5	3312975	3312975	+	45.3174	NA	Intergenic	Intergenic	-1479	AT5G10504.1	AT5G10504	AT5G10504						NA
35S_BBM_GFP_ChIP_peak_16496	chr5	4485776	4485776	+	45.2339	NA	promoter-TSS (AT5G13917.1)	-promoter-TSS (AT5G13917.1)	-465	AT5G13917.1	AT5G13917	AT5G13917						NA
35S_BBM_GFP_ChIP_peak_9373	chr3	3650169	3650169	+	45.0561	NA	TTS (AT3G11580.2)	-TTS (AT3G11580.2)	1148	AT3G11580.2	AT3G11580	AT3G11580						NA
35S_BBM_GFP_ChIP_peak_6679	chr2	10585412	10585412	+	45.01	NA	promoter-TSS (AT2G24850.1)	-promoter-TSS (AT2G24850.1)	-196	AT2G24850.1	AT2G24850	AT2G24850						NA
35S_BBM_GFP_ChIP_peak_1075	chr1	4935560	4935560	+	44.8251	NA	exon (AT1G14430.1, exon 1 of 1)	-exon (AT1G14430.1, exon 1 of 1)	1440	AT1G14430.1	AT1G14430	AT1G14430						NA
35S_BBM_GFP_ChIP_peak_10106	chr3	7298860	7298860	+	44.261	NA	Intergenic	Intergenic	-1815	AT3G20840.1	AT3G20840	AT3G20840						NA
PLT1_DAP_peak_151	chr3	12871370	12871370	+	43.9856	NA	Intergenic	Intergenic	2572	AT3G31810.1	AT3G31810	AT3G31810						NA
35S_BBM_GFP_ChIP_peak_16586	chr5	4934688	4934688	+	43.869	NA	TTS (AT5G15200.1)	-TTS (AT5G15200.1)	-1111	AT5G15190.1	AT5G15190	AT5G15190						NA
PLT1_DAP_peak_197	chr4	3928841	3928841	+	43.7802	NA	exon (AT4G06692.1, exon 1 of 1)	-exon (AT4G06692.1, exon 1 of 1)	4265	AT4G06692.1	AT4G06692	AT4G06692						NA
35S_BBM_GFP_ChIP_peak_6324	chr2	8839730	8839730	+	43.731	NA	promoter-TSS (AT2G20515.1)	-promoter-TSS (AT2G20515.1)	-30	AT2G20515.1	AT2G20515	AT2G20515						NA
35S_BBM_GFP_ChIP_peak_8867	chr3	1177305	1177305	+	43.7302	NA	promoter-TSS (AT3G04430.1)	-promoter-TSS (AT3G04430.1)	-319	AT3G04430.1	AT3G04430	AT3G04430						NA
35S_BBM_GFP_ChIP_peak_2332	chr1	11083921	11083921	+	43.7049	NA	promoter-TSS (AT1G31070.1)	-promoter-TSS (AT1G31070.1)	-938	AT1G31070.2	AT1G31070	AT1G31070						NA
35S_BBM_GFP_ChIP_peak_17655	chr5	13988668	13988668	+	43.5231	NA	Intergenic	Intergenic	-5017	AT5G35805.1	AT5G35805	AT5G35805						NA
35S_BBM_GFP_ChIP_peak_14049	chr4	12067426	12067426	+	43.4061	NA	exon (AT4G23020.2, exon 2 of 4)	-exon (AT4G23020.2, exon 2 of 4)	1016	AT4G23020.1	AT4G23020	AT4G23020						NA
35S_BBM_GFP_ChIP_peak_14976	chr4	16636024	16636024	+	43.398	NA	TTS (AT4G34910.1)	-TTS (AT4G34910.1)	340	AT4G34920.1	AT4G34920	AT4G34920						NA
35S_BBM_GFP_ChIP_peak_9603	chr3	4715250	4715250	+	43.166	NA	promoter-TSS (AT3G14200.1)	-promoter-TSS (AT3G14200.1)	-597	AT3G14200.1	AT3G14200	AT3G14200						NA
35S_BBM_GFP_ChIP_peak_17004	chr5	7039100	7039100	+	43.1626	NA	promoter-TSS (AT5G20780.1)	-promoter-TSS (AT5G20780.1)	-631	AT5G20780.1	AT5G20780	AT5G20780						NA
PLT3_MK_DAP_peak_934	chr3	11396731	11396731	+	42.9923	NA	promoter-TSS (AT3G29580.1)	-promoter-TSS (AT3G29580.1)	-860	AT3G29580.1	AT3G29580	AT3G29580						NA
35S_BBM_GFP_ChIP_peak_11981	chr3	20896482	20896482	+	42.9818	NA	promoter-TSS (AT3G56350.1)	-promoter-TSS (AT3G56350.1)	1	AT3G56360.1	AT3G56360	AT3G56360						NA
35S_BBM_GFP_ChIP_peak_13562	chr4	9446059	9446059	+	42.7046	NA	Intergenic	Intergenic	-3055	AT4G16780.1	AT4G16780	AT4G16780						NA
35S_BBM_GFP_ChIP_peak_806	chr1	3744632	3744632	+	42.6558	NA	promoter-TSS (AT1G11175.1)	-promoter-TSS (AT1G11175.1)	-226	AT1G11175.1	AT1G11175	AT1G11175						NA
35S_BBM_GFP_ChIP_peak_14930	chr4	16477201	16477201	+	42.5292	NA	TTS (AT4G34450.1)	-TTS (AT4G34450.1)	2303	AT4G34460.2	AT4G34460	AT4G34460						NA
35S_BBM_GFP_ChIP_peak_13208	chr4	7222233	7222233	+	42.4845	NA	promoter-TSS (AT4G12050.1)	-promoter-TSS (AT4G12050.1)	-905	AT4G12050.1	AT4G12050	AT4G12050						NA
PLT3_MK_DAP_peak_1967	chr5	24819355	24819355	+	42.3072	NA	Intergenic	Intergenic	-1903	AT5G61780.1	AT5G61780	AT5G61780						NA
35S_BBM_GFP_ChIP_peak_7077	chr2	12646143	12646143	+	42.2117	NA	promoter-TSS (AT2G29550.1)	-promoter-TSS (AT2G29550.1)	-106	AT2G29550.1	AT2G29550	AT2G29550						NA
35S_BBM_GFP_ChIP_peak_10932	chr3	13288129	13288129	+	42.2117	NA	promoter-TSS (AT3G32360.1)	-promoter-TSS (AT3G32360.1)	-589	AT3G32360.1	AT3G32360	AT3G32360						NA
35S_BBM_GFP_ChIP_peak_10114	chr3	7333979	7333979	+	42.2019	NA	promoter-TSS (AT3G20935.1)	-promoter-TSS (AT3G20935.1)	-791	AT3G20935.1	AT3G20935	AT3G20935						NA
35S_BBM_GFP_ChIP_peak_15501	chr4	18564257	18564257	+	42.185	NA	promoter-TSS (AT4G40050.1)	-promoter-TSS (AT4G40050.1)	-419	AT4G40050.1	AT4G40050	AT4G40050						NA
35S_BBM_GFP_ChIP_peak_15537	chr5	105223	105223	+	42.1114	NA	promoter-TSS (AT5G01260.1)	-promoter-TSS (AT5G01260.1)	-102	AT5G01260.2	AT5G01260	AT5G01260						NA
35S_BBM_GFP_ChIP_peak_15911	chr5	1655139	1655139	+	42.0836	NA	TTS (AT5G05560.1)	-TTS (AT5G05560.1)	-1427	AT5G05570.2	AT5G05570	AT5G05570						NA
35S_BBM_GFP_ChIP_peak_16606	chr5	5005805	5005805	+	42.0777	NA	exon (AT5G15410.1, exon 2 of 8)	-exon (AT5G15410.1, exon 2 of 8)	1077	AT5G15410.1	AT5G15410	AT5G15410						NA
35S_BBM_GFP_ChIP_peak_13180	chr4	7079975	7079975	+	41.8824	NA	exon (AT4G11760.1, exon 2 of 2)	-exon (AT4G11760.1, exon 2 of 2)	659	AT4G11760.1	AT4G11760	AT4G11760						NA
35S_BBM_GFP_ChIP_peak_716	chr1	3270965	3270965	+	41.7271	NA	intron (AT1G10020.1, intron 1 of 1)	-intron (AT1G10020.1, intron 1 of 1)	1022	AT1G10020.1	AT1G10020	AT1G10020						NA
35S_BBM_GFP_ChIP_peak_3660	chr1	22319289	22319289	+	41.6859	NA	Intergenic	Intergenic	-2319	AT1G60590.1	AT1G60590	AT1G60590						NA
35S_BBM_GFP_ChIP_peak_9847	chr3	5792161	5792161	+	41.6202	NA	exon (AT3G16960.1, exon 1 of 2)	-exon (AT3G16960.1, exon 1 of 2)	103	AT3G16960.1	AT3G16960	AT3G16960						NA
